sensor_id,hour,n,avg_temp_raw,avg_temp_plausible
1,2004-02-28 00:00:00,1,19.99,19.99
1,2004-02-28 01:00:00,52,19.03,19.03
1,2004-02-28 02:00:00,33,18.73,18.73
1,2004-02-28 03:00:00,41,18.4,18.4
1,2004-02-28 04:00:00,44,18.09,18.09
1,2004-02-28 05:00:00,45,17.8,17.8
1,2004-02-28 06:00:00,43,17.62,17.62
1,2004-02-28 07:00:00,32,17.86,17.86
1,2004-02-28 08:00:00,40,19.47,19.47
1,2004-02-28 09:00:00,61,21.96,21.96
1,2004-02-28 10:00:00,48,23.6,23.6
1,2004-02-28 11:00:00,60,24.43,24.43
1,2004-02-28 12:00:00,62,24.66,24.66
1,2004-02-28 13:00:00,53,24.8,24.8
1,2004-02-28 14:00:00,56,23.98,23.98
1,2004-02-28 15:00:00,75,23.29,23.29
1,2004-02-28 16:00:00,70,22.26,22.26
1,2004-02-28 17:00:00,59,21.45,21.45
1,2004-02-28 18:00:00,76,20.87,20.87
1,2004-02-28 19:00:00,70,20.47,20.47
1,2004-02-28 20:00:00,91,20.24,20.24
1,2004-02-28 21:00:00,65,19.94,19.94
1,2004-02-28 22:00:00,70,19.61,19.61
1,2004-02-28 23:00:00,70,19.34,19.34
1,2004-02-29 00:00:00,67,19.06,19.06
1,2004-02-29 01:00:00,67,18.7,18.7
1,2004-02-29 02:00:00,87,18.39,18.39
1,2004-02-29 03:00:00,77,18.12,18.12
1,2004-02-29 04:00:00,74,17.91,17.91
1,2004-02-29 05:00:00,73,17.7,17.7
1,2004-02-29 06:00:00,62,17.51,17.51
1,2004-02-29 07:00:00,70,17.49,17.49
1,2004-02-29 08:00:00,75,18.6,18.6
1,2004-02-29 09:00:00,65,20.3,20.3
1,2004-02-29 10:00:00,66,20.67,20.67
1,2004-02-29 11:00:00,62,21.2,21.2
1,2004-02-29 12:00:00,76,21.12,21.12
1,2004-02-29 13:00:00,78,21.32,21.32
1,2004-02-29 14:00:00,66,21.22,21.22
1,2004-02-29 15:00:00,72,20.58,20.58
1,2004-02-29 16:00:00,70,19.99,19.99
1,2004-02-29 17:00:00,74,19.67,19.67
1,2004-02-29 18:00:00,63,19.34,19.34
1,2004-02-29 19:00:00,74,19.1,19.1
1,2004-02-29 20:00:00,81,18.93,18.93
1,2004-02-29 21:00:00,72,18.83,18.83
1,2004-02-29 22:00:00,81,18.69,18.69
1,2004-02-29 23:00:00,76,18.52,18.52
1,2004-03-01 00:00:00,64,18.36,18.36
1,2004-03-01 01:00:00,62,18.19,18.19
1,2004-03-01 02:00:00,67,18.01,18.01
1,2004-03-01 03:00:00,69,17.93,17.93
1,2004-03-01 04:00:00,63,17.75,17.75
1,2004-03-01 05:00:00,61,17.5,17.5
