sensor_id,ts,voltage,voltage_1h_avg,n_in_window
1,2004-02-28 00:59:16.027850,2.69964,2.6996,1
1,2004-02-28 01:03:16.333930,2.68742,2.6935,2
1,2004-02-28 01:06:16.013453,2.68742,2.6915,3
1,2004-02-28 01:06:46.778088,2.69964,2.6935,4
1,2004-02-28 01:08:45.992524,2.68742,2.6923,5
1,2004-02-28 01:09:22.323858,2.68742,2.6915,6
1,2004-02-28 01:09:46.109598,2.68742,2.6909,7
1,2004-02-28 01:10:16.678900,2.69964,2.692,8
1,2004-02-28 01:10:46.250524,2.68742,2.6915,9
1,2004-02-28 01:11:46.941288,2.69964,2.6923,10
1,2004-02-28 01:12:46.251377,2.68742,2.6919,11
1,2004-02-28 01:14:16.631270,2.69964,2.6925,12
1,2004-02-28 01:14:46.569352,2.69964,2.6931,13
1,2004-02-28 01:15:16.649556,2.69964,2.6935,14
1,2004-02-28 01:16:16.343708,2.69964,2.6939,15
1,2004-02-28 01:16:46.508622,2.69964,2.6943,16
1,2004-02-28 01:17:46.427446,2.69964,2.6946,17
1,2004-02-28 01:18:16.468248,2.69964,2.6949,18
1,2004-02-28 01:20:16.107740,2.68742,2.6945,19
1,2004-02-28 01:20:46.033312,2.69964,2.6948,20
1,2004-02-28 01:21:16.648189,2.69964,2.695,21
1,2004-02-28 01:22:16.026390,2.69964,2.6952,22
1,2004-02-28 01:23:16.899912,2.68742,2.6949,23
1,2004-02-28 01:23:46.545863,2.69964,2.6951,24
1,2004-02-28 01:24:16.176842,2.69964,2.6952,25
1,2004-02-28 01:26:16.656972,2.68742,2.6949,26
1,2004-02-28 01:26:46.463293,2.69964,2.6951,27
1,2004-02-28 01:28:46.483577,2.68742,2.6948,28
1,2004-02-28 01:29:46.102532,2.69964,2.695,29
1,2004-02-28 01:30:46.454955,2.68742,2.6948,30
1,2004-02-28 01:32:16.561857,2.69964,2.6949,31
1,2004-02-28 01:32:46.312039,2.69964,2.6951,32
1,2004-02-28 01:33:46.446315,2.68742,2.6948,33
1,2004-02-28 01:34:46.258012,2.68742,2.6946,34
1,2004-02-28 01:35:16.394184,2.69964,2.6948,35
1,2004-02-28 01:36:16.806149,2.68742,2.6945,36
1,2004-02-28 01:36:46.872566,2.69964,2.6947,37
1,2004-02-28 01:37:16.691853,2.69964,2.6948,38
1,2004-02-28 01:39:46.158044,2.68742,2.6946,39
1,2004-02-28 01:42:16.849635,2.68742,2.6944,40
1,2004-02-28 01:42:46.087976,2.69964,2.6946,41
1,2004-02-28 01:44:16.118274,2.68742,2.6944,42
1,2004-02-28 01:45:46.665826,2.69964,2.6945,43
1,2004-02-28 01:46:46.411103,2.68742,2.6944,44
1,2004-02-28 01:48:46.481060,2.69964,2.6945,45
1,2004-02-28 01:49:46.499231,2.69964,2.6946,46
1,2004-02-28 01:50:16.243615,2.69964,2.6947,47
1,2004-02-28 01:50:46.640656,2.68742,2.6945,48
1,2004-02-28 01:51:16.492577,2.69964,2.6947,49
1,2004-02-28 01:52:16.658227,2.68742,2.6945,50
1,2004-02-28 01:54:46.362044,2.69964,2.6946,51
1,2004-02-28 01:56:16.384579,2.69964,2.6947,52
1,2004-02-28 01:57:16.176569,2.68742,2.6946,53
1,2004-02-28 02:01:46.132962,2.69964,2.6946,53
1,2004-02-28 02:10:16.280780,2.68742,2.6951,48
1,2004-02-28 02:11:16.721059,2.69964,2.6952,47
1,2004-02-28 02:12:46.278991,2.68742,2.6951,46
1,2004-02-28 02:13:16.505098,2.68742,2.695,47
1,2004-02-28 02:14:46.685489,2.68742,2.6946,46
1,2004-02-28 02:16:46.546677,2.68742,2.6941,44
1,2004-02-28 02:18:46.231028,2.68742,2.6937,43
1,2004-02-28 02:19:16.175456,2.68742,2.6935,44
1,2004-02-28 02:19:46.991259,2.69964,2.6937,45
1,2004-02-28 02:20:46.870029,2.69964,2.6938,44
1,2004-02-28 02:21:16.554543,2.68742,2.6937,45
1,2004-02-28 02:21:46.303901,2.69964,2.6937,45
1,2004-02-28 02:23:16.603150,2.68742,2.6934,45
1,2004-02-28 02:23:46.449420,2.69964,2.6937,45
1,2004-02-28 02:24:46.059627,2.68742,2.6933,44
1,2004-02-28 02:25:46.515577,2.69964,2.6934,45
1,2004-02-28 02:26:17.231310,2.69964,2.6937,45
1,2004-02-28 02:30:16.107116,2.69964,2.6937,43
1,2004-02-28 02:31:16.348393,2.68742,2.6937,43
1,2004-02-28 02:31:46.107955,2.68742,2.6935,44
1,2004-02-28 02:34:46.698204,2.68742,2.6934,41
1,2004-02-28 02:35:46.720846,2.68742,2.6931,41
1,2004-02-28 02:36:16.849224,2.69964,2.6934,41
1,2004-02-28 02:37:46.514175,2.68742,2.6929,40
1,2004-02-28 02:40:16.927811,2.68742,2.6929,40
