window_start,readings_by_event_time,readings_by_received_at,historical_by_received_at,mean_by_event_time,mean_by_received_at,readings_diff,mean_diff
2029-07-20 02:30:00+00:00,174,174,0,2721.4977605,2721.4977605,0,0.0
2029-07-20 03:00:00+00:00,418,418,0,2711.1791239,2711.1791239,0,0.0
2029-07-20 03:30:00+00:00,420,386,0,2699.4717018,2700.0480795555554,-34,0.5763777555553133
2029-07-20 04:00:00+00:00,419,453,0,2695.8360316,2695.694965272727,34,-0.14106632727271062
2029-07-20 04:30:00+00:00,384,384,0,2704.5237711111113,2704.5237711111113,0,0.0
2029-07-20 05:00:00+00:00,417,417,0,2709.5766283000003,2709.5766283000003,0,0.0
2029-07-20 05:30:00+00:00,419,419,0,2713.5486152,2713.5486152,0,0.0
2029-07-20 06:00:00+00:00,418,418,0,2715.9938977,2715.9938977,0,0.0
2029-07-20 06:30:00+00:00,419,419,0,2710.3270208000004,2710.3270208000004,0,0.0
2029-07-20 07:00:00+00:00,420,420,0,2704.1559038,2704.1559038,0,0.0
2029-07-20 07:30:00+00:00,420,420,0,2697.6021243,2697.6021243,0,0.0
2029-07-20 08:00:00+00:00,420,217,0,2695.0552694,2694.7894642,-203,-0.2658051999997042
2029-07-20 08:30:00+00:00,419,0,0,2700.6989597,,-419,
2029-07-20 09:00:00+00:00,419,0,0,2712.3232168,,-419,
2029-07-20 09:30:00+00:00,419,338,251,2714.1055837,2699.96119,-81,-14.14439369999991
2029-07-20 10:00:00+00:00,419,1541,1122,2711.0590368000003,2709.696860081081,1122,-1.3621767189192724
2029-07-20 10:30:00+00:00,419,419,0,2701.1959497,2701.1959497,0,0.0
2029-07-20 11:00:00+00:00,386,386,0,2700.4614316666666,2700.4614316666666,0,0.0
2029-07-20 11:30:00+00:00,420,48,0,2697.8503484000003,2699.176248,-372,1.325899599999957
2029-07-20 12:00:00+00:00,420,0,0,2701.540388,,-420,
2029-07-20 12:30:00+00:00,418,0,0,2704.2108005,,-418,
2029-07-20 13:00:00+00:00,418,506,372,2707.2256393,2699.9509107500003,88,-7.274728549999509
2029-07-20 13:30:00+00:00,418,1540,1122,2707.7791647,2705.066925189189,1122,-2.712239510810832
2029-07-20 14:00:00+00:00,417,417,0,2703.9532571,2703.9532571,0,0.0
2029-07-20 14:30:00+00:00,420,420,0,2702.8792808999997,2702.8792808999997,0,0.0
2029-07-20 15:00:00+00:00,420,420,0,2696.7556335,2696.7556335,0,0.0
2029-07-20 15:30:00+00:00,419,419,0,2694.2896293000003,2694.2896293000003,0,0.0
2029-07-20 16:00:00+00:00,419,419,0,2696.0626007,2696.0626007,0,0.0
2029-07-20 16:30:00+00:00,417,417,0,2702.9544531111114,2702.9544531111114,0,0.0
2029-07-20 17:00:00+00:00,419,419,0,2708.408316,2708.408316,0,0.0
2029-07-20 17:30:00+00:00,419,419,0,2711.3872705,2711.3872705,0,0.0
2029-07-20 18:00:00+00:00,419,419,0,2714.181305,2714.181305,0,0.0
2029-07-20 18:30:00+00:00,418,168,0,2709.7920653,2712.5535415,-250,2.7614761999998336
2029-07-20 19:00:00+00:00,420,0,0,2707.060031,,-420,
2029-07-20 19:30:00+00:00,419,0,0,2703.2667718000002,,-419,
2029-07-20 20:00:00+00:00,419,182,130,2708.3275255,2709.7632224999998,-237,1.435696999999891
2029-07-20 20:30:00+00:00,418,1676,1258,2709.179450555556,2706.5197083333333,1258,-2.659742222222576
2029-07-20 21:00:00+00:00,386,454,68,2715.083824111111,2714.4816115454546,68,-0.602212565656373
2029-07-20 21:30:00+00:00,386,386,0,2719.818180888889,2719.818180888889,0,0.0
2029-07-20 22:00:00+00:00,419,419,0,2719.7041571,2719.7041571,0,0.0
2029-07-20 22:30:00+00:00,420,420,0,2716.2817872,2716.2817872,0,0.0
2029-07-20 23:00:00+00:00,419,419,0,2716.1864084,2716.1864084,0,0.0
2029-07-20 23:30:00+00:00,420,420,0,2712.7769660999998,2712.7769660999998,0,0.0
2029-07-21 00:00:00+00:00,418,418,0,2700.1142267,2700.1142267,0,0.0
2029-07-21 00:30:00+00:00,419,419,0,2693.1047321,2693.1047321,0,0.0
2029-07-21 01:00:00+00:00,419,251,0,2688.88019,2689.105840333333,-168,0.22565033333330575
2029-07-21 01:30:00+00:00,419,0,0,2694.6984755,,-419,
2029-07-21 02:00:00+00:00,418,0,0,2700.0884066,,-418,
2029-07-21 02:30:00+00:00,419,1424,1033,2704.7600732,2698.518717970588,1005,-6.241355229411965
2029-07-21 03:00:00+00:00,418,418,0,2708.7512522,2708.7512522,0,0.0
2029-07-21 03:30:00+00:00,420,420,0,2712.737888,2712.737888,0,0.0
2029-07-21 04:00:00+00:00,419,419,0,2712.9739289,2712.9739289,0,0.0
2029-07-21 04:30:00+00:00,420,420,0,2709.1064125,2709.1064125,0,0.0
2029-07-21 05:00:00+00:00,418,418,0,2694.3267103000003,2694.3267103000003,0,0.0
2029-07-21 05:30:00+00:00,420,420,0,2690.4908894,2690.4908894,0,0.0
2029-07-21 06:00:00+00:00,419,419,0,2705.19366,2705.19366,0,0.0
2029-07-21 06:30:00+00:00,418,418,0,2718.7636759,2718.7636759,0,0.0
2029-07-21 07:00:00+00:00,420,420,0,2720.371066,2720.371066,0,0.0
2029-07-21 07:30:00+00:00,81,81,0,2720.09703,2720.09703,0,0.0
