window_start,score,quiet,standout,max_abs_z,top_tags,z_XMEAS_1_A_feed,z_XMEAS_2_D_feed,z_XMEAS_3_E_feed,z_XMEAS_4_total_feed,z_XMEAS_5_recycle_flow,z_XMEAS_6_reactor_feed_rate,z_XMEAS_7_reactor_pressure,z_XMEAS_8_reactor_level,z_XMEAS_9_reactor_temperature,z_XMEAS_10_purge_rate,z_XMEAS_11_separator_temperature,z_XMEAS_12_separator_level,z_XMEAS_13_separator_pressure,z_XMEAS_14_separator_underflow,z_XMEAS_15_stripper_level,z_XMEAS_16_stripper_pressure,z_XMEAS_17_stripper_underflow,z_XMEAS_18_stripper_temperature,z_XMEAS_19_stripper_steam_flow,z_XMEAS_20_compressor_work,z_XMEAS_21_reactor_cw_outlet,z_XMEAS_22_condenser_cw_outlet,z_XMV_1_D_feed_flow,z_XMV_2_E_feed_flow,z_XMV_3_A_feed_flow,z_XMV_4_total_feed_flow,z_XMV_5_compressor_recycle,z_XMV_6_purge_valve,z_XMV_7_separator_underflow,z_XMV_8_stripper_underflow,z_XMV_9_stripper_steam,z_XMV_10_reactor_cw_flow,z_XMV_11_condenser_cw_flow
2029-07-20 03:00:00+00:00,1.7342,False,True,22.299,XMV_10_reactor_cw_flow -22.3; XMV_4_total_feed_flow -3.2; XMEAS_22_condenser_cw_outlet -2.7,0.308,0.537,1.783,-1.732,1.553,0.946,0.649,1.542,1.331,-0.608,-1.088,0.411,0.659,-1.16,1.291,0.909,-0.314,-2.118,-1.667,-0.721,0.573,-2.735,0.873,1.434,0.277,-3.225,-0.283,-0.458,0.445,-0.543,-1.73,-22.299,1.028
2029-07-20 03:30:00+00:00,1.5352,False,True,10.374,XMV_10_reactor_cw_flow +10.4; XMEAS_9_reactor_temperature +9.8; XMEAS_21_reactor_cw_outlet +2.2,1.481,-0.67,0.602,-2.132,0.895,1.726,-0.771,0.378,9.815,0.958,1.232,-0.513,-0.795,0.215,-0.653,-0.457,-0.41,-1.237,-1.677,-1.554,2.167,-0.067,-0.65,0.34,1.497,-0.163,-1.457,1.485,-0.89,-1.509,-1.563,10.374,0.333
2029-07-20 04:00:00+00:00,1.0486,False,False,4.062,XMEAS_9_reactor_temperature -4.1; XMV_6_purge_valve +2.3; XMEAS_10_purge_rate +2.1,1.174,-1.574,-1.002,-0.221,0.266,0.26,-1.211,-0.639,-4.062,2.059,0.687,0.197,-1.237,-0.577,0.591,-1.01,0.946,-0.908,-0.917,-1.421,1.962,-0.316,-0.912,-1.569,1.19,0.252,-1.202,2.275,-0.648,0.148,-0.862,-1.758,-0.552
2029-07-20 04:30:00+00:00,0.8941,True,False,2.294,XMEAS_10_purge_rate +2.3; XMV_6_purge_valve +2.0; XMEAS_9_reactor_temperature +1.9,1.602,-1.305,-0.908,1.785,-0.387,1.481,-0.136,-1.428,1.922,2.294,0.936,0.897,-0.105,0.784,-0.593,-0.128,0.66,0.111,0.32,-0.155,0.442,1.43,-1.371,-0.738,1.604,1.535,-0.159,1.984,-0.52,0.448,0.358,-0.392,-0.587
2029-07-20 05:00:00+00:00,0.7501,True,False,2.101,XMEAS_8_reactor_level -2.1; XMEAS_10_purge_rate +1.5; XMV_7_separator_underflow +1.5,0.085,0.086,-0.514,0.881,-0.722,-0.195,0.455,-2.101,0.027,1.549,-0.49,-0.593,0.545,-0.984,-0.41,0.146,-0.523,1.047,1.388,1.302,-1.252,0.589,-0.178,-0.887,0.201,0.226,1.073,1.321,1.454,-1.094,1.394,0.515,0.528
2029-07-20 05:30:00+00:00,1.1183,False,False,2.808,XMV_10_reactor_cw_flow +2.8; XMV_4_total_feed_flow +2.4; XMEAS_17_stripper_underflow -2.0,-0.839,0.375,1.221,1.685,-0.004,0.626,0.936,-0.286,0.303,1.844,-0.656,0.837,1.015,-0.219,1.247,0.691,-2.049,1.608,1.855,1.632,-1.759,0.498,1.162,0.43,-0.824,2.407,1.355,1.45,-0.088,0.746,1.839,2.808,1.612
2029-07-20 06:00:00+00:00,1.0467,True,False,2.063,XMV_2_E_feed_flow +2.1; XMV_7_separator_underflow +2.0; XMEAS_3_E_feed +1.9,-0.676,-1.402,1.861,0.119,-0.404,0.888,1.233,1.058,-0.826,1.055,-1.302,-1.411,1.346,-1.025,-1.649,0.896,0.783,1.163,1.298,1.647,-0.356,-0.703,-1.159,2.063,-0.612,-0.559,1.637,0.591,1.995,0.467,1.231,0.116,-1.011
2029-07-20 06:30:00+00:00,0.6211,True,False,1.92,XMV_8_stripper_underflow -1.9; XMEAS_8_reactor_level +1.6; XMEAS_3_E_feed +1.5,-0.931,1.165,1.502,-0.313,-0.326,-0.474,0.546,1.636,-0.164,-0.014,-1.097,-0.402,0.642,-0.568,0.465,0.271,-0.424,0.055,-0.028,0.943,-0.538,-0.827,0.386,1.34,-0.894,0.528,1.138,-0.191,-0.011,-1.92,-0.081,0.585,-0.09
2029-07-20 07:00:00+00:00,0.7155,False,False,2.588,XMV_8_stripper_underflow +2.6; XMV_4_total_feed_flow -2.1; XMEAS_3_E_feed +1.9,-0.317,0.558,1.913,-0.997,0.46,-0.193,-0.203,0.747,0.097,0.324,0.09,-0.739,-0.133,-1.446,-0.689,-0.212,0.889,-0.707,-0.985,-0.228,0.527,-0.756,0.798,1.425,-0.261,-2.077,-0.229,0.355,-0.56,2.588,-0.988,-0.898,0.221
2029-07-20 07:30:00+00:00,1.0547,False,False,3.778,XMEAS_17_stripper_underflow -3.8; XMV_11_condenser_cw_flow +3.7; XMEAS_12_separator_level +2.0,0.072,-0.94,-0.718,-1.396,0.295,-1.739,-0.997,1.044,0.233,-0.067,0.826,1.951,-1.005,1.056,-1.115,-0.985,-3.778,-0.724,-0.921,-0.943,1.747,0.179,-1.119,-0.727,0.061,0.526,-0.639,0.107,0.864,1.69,-0.881,-1.762,3.697
